year,age,event,category1,category2,New_Column,Name
1999,104,"In a 1999 ESPN poll, Babe Ruth was ranked as the second-greatest U.S. athlete of the century, behind Michael Jordan.",Legacy,,Babe Ruth.csv,Babe Ruth
2018,123,"In 2018, President Donald Trump announced that Babe Ruth, along with Elvis Presley and Antonin Scalia, would posthumously receive the Presidential Medal of Freedom.",Legacy,,Babe Ruth.csv,Babe Ruth
2005,44,"Barack Obama previously served as a U.S. senator representing Illinois from 2005 to 2008, as an Illinois state senator from 1997 to 2004, and as a civil rights lawyer and university lecturer.",summary,,Barack Obama.csv,Barack Obama
1997,36,"Barack Obama represented the 13th district in the Illinois Senate from 1997 until 2004, when Barack Obama successfully ran for the U.S. Senate.",summary,,Barack Obama.csv,Barack Obama
2008,47,"In 2008, after a close primary campaign against Hillary Clinton, Barack Obama was nominated by the Democratic Party for president and chose Joe Biden as Barack Obama's running mate.",summary,,Barack Obama.csv,Barack Obama
2009,48,"Barack Obama was elected president, defeating Republican nominee John McCain in the presidential election and was inaugurated on January 20, 2009.",summary,,Barack Obama.csv,Barack Obama
2009,48,"Nine months later Barack Obama was named the 2009 Nobel Peace Prize laureate, named.Barack Obama's",summary,,Barack Obama.csv,Barack Obama
2013,52,"After winning re-election by defeating Republican opponent Mitt Romney, Barack Obama was sworn in for a second term on January 20, 2013.",summary,,Barack Obama.csv,Barack Obama
1995,34,"Outside of politics, Barack Obama has published three bestselling books: Dreams from My Father (1995), The Audacity of Hope (2006) and A Promised Land (2020).",summary,,Barack Obama.csv,Barack Obama
2010,49,"Rankings by scholars and historians, in which Barack Obama has been featured since 2010, place Barack Obama in the middle to upper tier of American presidents.",summary,,Barack Obama.csv,Barack Obama
1961,0,"Barack Obama was born on August 4, 1961, at Kapiolani Medical Center for Women and Children in Honolulu, Hawaii.",Early life and career,,Barack Obama.csv,Barack Obama
1961,0,"an American mother and a Kenyan father married in Wailuku, Hawaii, on February 2, 1961, six months before Barack Obama was born.",Early life and career,,Barack Obama.csv,Barack Obama
1961,0,"In late August 1961, a few weeks after Barack Obama was born, Obama's father, Barack Obama Sr. (1934–1982) His mother, Ann Dunham (1942–1995), moved to the University of Washington in Seattle, where an American mother and a Kenyan father lived for a year.",Early life and career,,Barack Obama.csv,Barack Obama
1934,-27,"Obama's father, Barack Obama Sr. (1934–1982) visited Obama's father, Barack Obama Sr. (1934–1982)'s in Hawaii only once, at Christmas 1971, before Obama's father, Barack Obama Sr. (1934–1982) was killed in an automobile accident in 1982, when Barack Obama was 21 years old.",Early life and career,,Barack Obama.csv,Barack Obama
1975,14,"Barack Obama chose to stay in Hawaii when his mother and half-sister, Maya Soetoro, returned to Indonesia in 1975, so his mother could begin anthropology field work.",Early life and career,Education,Barack Obama.csv,Barack Obama
1985,24,"After graduating, Barack Obama worked for about a year at the Business International Corporation, where Barack Obama was a financial researcher and writer, then as a project coordinator for the New York Public Interest Research Group on the City College of New York campus for three months in 1985.Two",Early life and career,Education,Barack Obama.csv,Barack Obama
1991,30,"In 1991, Barack Obama accepted a two-year position as Visiting Law and Government Fellow at the University of Chicago Law School to work on Barack Obama's first book.",Early life and career,Education,Barack Obama.csv,Barack Obama
1989,28,"In June 1989, Barack Obama met Michelle Robinson when Barack Obama was employed as a summer associate at the Chicago law firm of Sidley Austin.",Early life and career,Family and personal life,Barack Obama.csv,Barack Obama
2010,49,"On Barack Obama's 2010 income of $1.7 million, Barack Obama gave 14 percent to non-profit organizations, including $131,000 to Fisher House Foundation, a charity assisting wounded veterans' families, allowing wounded veterans' families to reside near where the veteran is receiving medical treatments.",Early life and career,Family and personal life,Barack Obama.csv,Barack Obama
2012,51,"Per Barack Obama's 2012 financial disclosure, Barack Obama may be worth as much as $10 million.",Early life and career,Family and personal life,Barack Obama.csv,Barack Obama
1987,26,Barack Obama met Trinity United Church of Christ pastor Jeremiah Wright in October 1987 and became a member of Trinity United Church of Christ pastor Jeremiah Wright in 1992.,Early life and career,Religious views,Barack Obama.csv,Barack Obama
1994,33,"In 1994, Barack Obama was listed as one of the lawyers in Buycks-Roberson v. Citibank Fed. Sav. Bank, 94 C 4094 (N.D. Ill.).",Legal career,Civil rights attorney,Barack Obama.csv,Barack Obama
1995,34,"Barack Obama served on the board of directors of the Chicago Annenberg Challenge from 1995 to 2002, as founding president and chairman of the board of directors from 1995 to 1999.",Legal career,Civil rights attorney,Barack Obama.csv,Barack Obama
1996,35,"Barack Obama was elected to the Illinois Senate in 1996, succeeding Democratic State Senator Alice Palmer from Illinois's's 13th District, which, at that time, spanned Chicago South Side neighborhoods from Hyde Park–Kenwood south to South Shore and west to Chicago Lawn.",Legislative career,Illinois Senate (1997–2004),Barack Obama.csv,Barack Obama
2003,42,"Barack Obama addressed another anti-war rally in March 2003 and told the crowd ""it's not too late"" to stop the George W. Bush administration's 2003 invasion of Iraq.",Legislative career,2004 U.S. Senate campaign,Barack Obama.csv,Barack Obama
2005,44,"Barack Obama was sworn in as a senator on January 3, 2005, becoming the only Senate member of the Congressional Black Caucus.",Legislative career,U.S. Senate (2005–2008),Barack Obama.csv,Barack Obama
2007,46,"On February 10, 2007, Barack Obama announced Barack Obama's candidacy for President of the United States in front of the Old State Capitol building in Springfield, Illinois.",Presidential campaigns,2008,Barack Obama.csv,Barack Obama
2008,47,"On August 23, 2008, Barack Obama announced Barack Obama's selection of Delaware Senator Joe Biden as Barack Obama's vice presidential running mate.",Presidential campaigns,2008,Barack Obama.csv,Barack Obama
2014,53,"Barack Obama also established the White House Task Force to Protect Students from Sexual Assault through a government memorandum on January 22, 2014, with a broad mandate to advise Barack Obama on issues relating to sexual assault on college and university campuses throughout the United States.",Presidency (2009–2017),Domestic policy,Barack Obama.csv,Barack Obama
2016,55,"In a March 2016 Gallup poll, nearly one third of Americans said nearly one third of Americans worried ""a great deal"" about race relations, a higher figure than in any previous Gallup poll since 2001.On October 8, 2009, Barack Obama signed the Matthew Shepard and James Byrd Jr. Hate Crimes Prevention Act, a measure that expanded the 1969 the United States federal hate-crime law to include crimes motivated by a victim's actual or perceived gender, sexual orientation, gender identity, or disability.",Presidency (2009–2017),Domestic policy,Barack Obama.csv,Barack Obama
2010,49,"Within a month of the 2010 midterm elections, Barack Obama announced a compromise deal with the Congressional Republican leadership that included a temporary, two-year extension of the 2001 and 2003 income tax rates, a one-year payroll tax reduction, continuation of unemployment benefits, and a new rate and exemption amount for estate taxes.",Presidency (2009–2017),Domestic policy,Barack Obama.csv,Barack Obama
2013,52,"In February 2013, Barack Obama said the U.S. military would reduce the troop level in Afghanistan, the region he cites as being most likely where an attack against the United States could be launched again from 68,000 to 34,000 U.S. troops by February 2014.",Presidency (2009–2017),Foreign policy,Barack Obama.csv,Barack Obama
2016,55,"Barack Obama visited Havana the United States for two days in March 2016, becoming the first sitting U.S. president to arrive since Calvin Coolidge in 1928.During the initial years of the Obama administration",Presidency (2009–2017),Foreign policy,Barack Obama.csv,Barack Obama
1967,6,Barack Obama supports the two-state solution to the conflict based on the 1967 borders with land swaps.,Presidency (2009–2017),Foreign policy,Barack Obama.csv,Barack Obama
2007,46,"Expressing puzzlement over questions about whether Barack Obama is ""black enough"", Barack Obama told an August 2007 meeting of the National Association of Black Journalists that ""we're still locked in this notion that if you appeal to white folks then there must be something wrong.""",Cultural and political image,,Barack Obama.csv,Barack Obama
2007,46,"Barack Obama acknowledged Barack Obama's youthful image in an October 2007 campaign speech, saying: ""Barack Obama wouldn't be here if, time and again, the torch had not been passed to a new generation.""",Cultural and political image,,Barack Obama.csv,Barack Obama
2011,50,"Barack Obama experienced a small poll bounce shortly after the death of Osama bin Laden on May 2, 2011, and maintained 50–53 percent approval for about a month, until Barack Obama's approval numbers dropped back to the low 40s.",Cultural and political image,Job approval,Barack Obama.csv,Barack Obama
2009,48,"In a similar poll conducted by Harris Interactive in May 2009, Barack Obama was rated as the most popular world leader, as well as the one figure most people would pin most people's hopes on for pulling the world out of the economic downturn.",Cultural and political image,Foreign perceptions,Barack Obama.csv,Barack Obama
2009,48,"On October 9, 2009, the Norwegian Nobel Committee announced that Barack Obama had won the 2009 Nobel Peace Prize ""for Barack Obama's extraordinary efforts to strengthen international diplomacy and cooperation between peoples"", which drew a mixture of praise and criticism from world leaders and media figures.",Cultural and political image,Foreign perceptions,Barack Obama.csv,Barack Obama
2023,62,"In October 2023, during the Israel–Hamas war, Barack Obama warned Israel that Israel's actions could ""harden Palestinian attitudes for generations"" and weaken international support for Israel; any military strategy that ignored the Israel–Hamas war's human costs ""could ultimately backfire.""",Post-presidency (2017–present),,Barack Obama.csv,Barack Obama
1902,36,"Beatrix Potter is best known for Beatrix Potter's children's books featuring animals, such as The Tale of Peter Rabbit, which was her first commercially published work in 1902.",summary,,Beatrix Potter.csv,Beatrix Potter
1902,36,"In Beatrix Potter's thirties, Beatrix Potter self-published The Tale of Peter Rabbit, which was her first commercially published work in 1902.",summary,,Beatrix Potter.csv,Beatrix Potter
2017,151,"In 2017, The Art of Beatrix Potter: Sketches, Paintings, and Illustrations by Emily Zach was published after San Francisco publisher Chronicle Books decided to mark the 150th anniversary of Potter's birth by showing that Beatrix Potter was ""far more than a 19th-century weekend painter.",Legacy,,Beatrix Potter.csv,Beatrix Potter
1971,105,"In 1971, Beatrix Potter was released, The Tales of Beatrix Potter, directed by Reginald Mills, set to music by John Lanchbery with choreography by Frederick Ashton, and performed in character costume by members of the Royal Ballet and the Royal Opera House orchestra.",Adaptations,,Beatrix Potter.csv,Beatrix Potter
1984,31,Benazir Bhutto and Benazir Bhutto's mother Nusrat took control of the Pakistan People's Party (PPP) and led Pakistan's Movement for the Restoration of Democracy; Benazir Bhutto was repeatedly imprisoned by Muhammad Zia-ul-Haq's military government and then self-exiled to Britain in 1984.,summary,,Benazir Bhutto.csv,Benazir Bhutto
1953,0,"Benazir Bhutto was born at Pinto's Nursing Home on 21 June 1953 in Karachi, Sindh, Pakistan.",Early life,Childhood: 1953–1968,Benazir Bhutto.csv,Benazir Bhutto
1951,-2,"The Bhuttos had married in September 1951, and Benazir Bhutto was The Bhuttos's first child. Benazir Bhutto was given the name of an aunt who had died young.",Early life,Childhood: 1953–1968,Benazir Bhutto.csv,Benazir Bhutto
1971,18,", while Benazir Bhutto was at Radcliffe College, Harvard University, Zulfikar invited Benazir Bhutto to join Zulfikar in New York City, where Zulfikar was involved in a United Nations Security Council meeting on 1971's Indo-Pakistani War.",Early life,University studies: 1969–1977,Benazir Bhutto.csv,Benazir Bhutto
1974,21,"In 1974, Benazir Bhutto was flown to Lahore to accompany her father at the Organisation of Islamic Cooperation's summit.",Early life,University studies: 1969–1977,Benazir Bhutto.csv,Benazir Bhutto
1977,24,"In 1977, Benazir Bhutto was elected President of the Oxford Union debating society, the first Asian woman to hold President of the Oxford Union debating society.",Early life,University studies: 1969–1977,Benazir Bhutto.csv,Benazir Bhutto
1977,24,"After Benazir Bhutto's Oxford education, Benazir Bhutto returned to Pakistan in June 1977, where Benazir Bhutto was scheduled to work at the Prime Minister's office and the ""Inter-Provincial Council of Common Interests"" during the rest of the summer.",Early life,University studies: 1969–1977,Benazir Bhutto.csv,Benazir Bhutto
1977,24,"Intent on a career in the Pakistani Foreign Service, Benazir Bhutto was scheduled to take the Pakistani Foreign Service's entrance exams later in 1977.",Early life,University studies: 1969–1977,Benazir Bhutto.csv,Benazir Bhutto
1986,33,"Benazir Bhutto arrived at Lahore Airport in April 1986, where Benazir Bhutto was greeted by a large crowd.",Zia's Pakistan,Release and self-imposed exile: 1984–1986,Benazir Bhutto.csv,Benazir Bhutto
1993,40,"In February 1993, Benazir Bhutto gave birth to Benazir Bhutto's daughter, Asifa.",First term as leader of the opposition (1990–1993),,Benazir Bhutto.csv,Benazir Bhutto
1996,43,"Benazir Bhutto was also a founding member of the Council of Women World Leaders, a group established in 1996.",Second term as Prime Minister (1993–1996),Domestic and foreign policy,Benazir Bhutto.csv,Benazir Bhutto
1993,40,"Benazir Bhutto later claimed that on Benazir Bhutto's 1993 visit to the North Korean government, Benazir Bhutto secretly carried a computer CD containing nuclear data, although Benazir Bhutto subsequently retracted carried. Benazir Bhutto also made a state visit to the U.S. in 1995, where Benazir Bhutto convinced Congress to repeal sanctions that Congress had imposed on Pakistan over Pakistan's nuclear weapons programme in 1990.In September 1996",Second term as Prime Minister (1993–1996),Domestic and foreign policy,Benazir Bhutto.csv,Benazir Bhutto
1996,43,"In response, Benazir Bhutto gave up Benazir Bhutto's role as Minister of Finances and dismissed most of Benazir Bhutto's economic advisers in October 1996.",Second term as Prime Minister (1993–1996),Second dismissal,Benazir Bhutto.csv,Benazir Bhutto
2000,47,"In April 2000, Benazir Bhutto was convicted of treason and sentenced to life imprisonment.",Second term as leader of the opposition (1996–1999),,Benazir Bhutto.csv,Benazir Bhutto
2007,54,"On 27 January 2007, Benazir Bhutto was invited by the United States to speak to President George W. Bush and Congressional and State Department officials.",Second term as leader of the opposition (1996–1999),Charges of corruption,Benazir Bhutto.csv,Benazir Bhutto
2007,54,Benazir Bhutto's domestic popularity was slipping; a mid-2007 poll gave Benazir Bhutto only a 26% approval rating.,Later life and death,Negotiating a return to Pakistan: 2006–2007,Benazir Bhutto.csv,Benazir Bhutto
2007,54,"In October 2007, Benazir Bhutto was elected president by Pakistan's parliament.",Later life and death,Negotiating a return to Pakistan: 2006–2007,Benazir Bhutto.csv,Benazir Bhutto
2002,49,"In a 2002 interview with The Guardian, Benazir Bhutto described Benazir Bhutto's allegiance to the Sufi branch of Sunni Islam.",Personal life,Personality,Benazir Bhutto.csv,Benazir Bhutto
1994,41,"Benazir Bhutto was anti-abortion and spoke forcefully against abortion, most notably at the 1994 meeting of the International Conference on Population and Development in Cairo, where Benazir Bhutto accused the West of ""seeking to impose adultery, abortion, intercourse education and other such matters on individuals, societies, and religions which have their own social ethosindividuals, societies, and religions which have their own social ethos's "".",Personal life,Personality,Benazir Bhutto.csv,Benazir Bhutto
2018,65,"In 2018, Benazir Bhutto's friend Ron Suskind described the couple's marriage as ""probably not all bad"", although added that Benazir Bhutto did not consider the businessman Asif Ali Zardari to be an equal partner in the couple's marriage.the",Personal life,Family,Benazir Bhutto.csv,Benazir Bhutto
2009,56,"In 2009, CBS News described her legacy as ""mixed"", and commented that: ""it's only in death that Benazir Bhutto will become an icon—in some ways, people will look at Benazir Bhutto's accomplishments through rose-tinted glasses rather than remembering the corruption charges, Benazir Bhutto's lack of achievements or how much Benazir Bhutto was manipulated by other people.""",Public image and legacy,,Benazir Bhutto.csv,Benazir Bhutto
1949,0,Benjamin Netanyahu was born in 1949 in Tel Aviv.,Early life and military career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1968,19,"Benjamin Netanyahu was involved in many other missions, including the 1968 Israeli raid on Lebanon and the rescue of the hijacked Sabena Flight 571 in May 1972, in which Benjamin Netanyahu was shot in the shoulder.",Early life and military career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1972,23,Benjamin Netanyahu was discharged from active service in 1972 but remained in the Sayeret Matkal reserves.,Early life and military career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1976,27,"Benjamin Netanyahu was headhunted to be an economic consultant for the Boston Consulting Group in Boston, Massachusetts, working at the Boston Consulting Group between 1976 and 1978.",Early career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1982,33,"During the 1982 Lebanon War, Benjamin Netanyahu was called up for reserve duty in Sayeret Matkal and requested to be released from service, preferring to remain in the United States and serve as a spokesperson for the State of Israel in the wake of harsh international criticism of the 1982 Lebanon War.",Early career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1982,33,"Benjamin Netanyahu presented the State of Israel's case to the media during the 1982 Lebanon War and established a highly efficient public relations system in the Israeli Embassy in Washington, D.C..",Early career,,Benjamin Netanyahu.csv,Benjamin Netanyahu
1991,42,After the Madrid Conference of 1991 Benjamin Netanyahu was appointed as Deputy Minister in the Israeli Prime Minister's Office.,Leader of the Opposition (1993–1996),,Benjamin Netanyahu.csv,Benjamin Netanyahu
1996,47,"Benjamin Netanyahu hired American Republican political operative Arthur Finkelstein to run his campaign, and although the American style of sound bites and sharp attacks elicited harsh criticism,[citation needed] Benjamin Netanyahu won the 1996 Israeli legislative election which took place on 29 May 1996 and were the first Israeli elections in which Israelis elected their prime minister directly, becoming the youngest person in the history of prime minister and the first Israeli prime minister to be born in Israel (Yitzhak Rabin was born in Jerusalem, under the British Mandate of Palestine, prior to the 1948 founding of",Leader of the Opposition (1993–1996),,Benjamin Netanyahu.csv,Benjamin Netanyahu
2005,56,"Benjamin Netanyahu submitted Benjamin Netanyahu's resignation letter on 7 August 2005, shortly before the Israeli cabinet voted 17 to 5 to approve the initial phase of withdrawal from Gaza.",Minister of Finance (2003–2005),,Benjamin Netanyahu.csv,Benjamin Netanyahu
2005,56,"Benjamin Netanyahu's most recent attempt prior to this was in September 2005 when Benjamin Netanyahu had tried to hold early primaries for the position of the head of the Likud, while the Likud held the office of prime minister – thus effectively pushing Sharon out of the office of prime minister.",Leader of the Opposition (2006–2009),,Benjamin Netanyahu.csv,Benjamin Netanyahu
2007,58,"On 14 August 2007, Benjamin Netanyahu was reelected as chairman of the Likud and the Likud's candidate for the post of prime minister with 73% of the vote, against Moshe Feiglin and World Likud chairman Danny Danon.",Leader of the Opposition (2006–2009),,Benjamin Netanyahu.csv,Benjamin Netanyahu
2009,60,"Benjamin Netanyahu, however, claimed victory on the basis that right-wing parties won the majority of the vote, and on 20 February 2009, Benjamin Netanyahu was designated by Israeli President Shimon Peres to succeed Olmert's as prime minister, and began Benjamin Netanyahu's negotiations to form a coalition government.[citation needed]Despite right wing parties winning a majority of 65 seats in Knesset",Leader of the Opposition (2006–2009),,Benjamin Netanyahu.csv,Benjamin Netanyahu
2009,60,"On 7 September 2009, Benjamin Netanyahu left Benjamin Netanyahu's office without reporting where Benjamin Netanyahu was headed.",Prime minister (2009–2021),Second term,Benjamin Netanyahu.csv,Benjamin Netanyahu
1987,38,"Benjamin Netanyahu maintained contact with Jonathan Pollard, an American serving a life sentence for passing secret U.S. documents to Israel in 1987's wife, and was active in pressing the Obama administration to release Jonathan Pollard, an American serving a life sentence for passing secret U.S. documents to Israel in 1987.In 2011",Prime minister (2009–2021),Second term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2010,61,"Benjamin Netanyahu had formed the Concentration Committee in 2010, and the bill, which was pushed forward by his government, implemented the Concentration Committee's recommendations.",Prime minister (2009–2021),Third term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2015,66,"fired led to the dissolution of his government, with new elections expected on 17 March 2015.In January 2015, Benjamin Netanyahu was invited to address the US Congress.",Prime minister (2009–2021),Third term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2016,67,"Some of the strongest criticism came from Israeli academics: Yehuda Bauer said Benjamin Netanyahu's was ""completely idiotic"", while Moshe Zimmermann stated that ""any attempt to deflect the burden from Adolf Hitler to others is a form of Holocaust denial.""In March 2016, Netanyahu's coalition faced a potential crisis as ultra-Orthodox members threatened to withdraw over a coalition government's proposed steps to create non-Orthodox prayer space at the Western Wall.",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2017,68,"Since January 2017, Benjamin Netanyahu has been investigated and questioned by Israeli police in two cases, ""Case 1000"" and ""Case 2000"".",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
1000,-949,"In ""Case 1000"", Benjamin Netanyahu is suspected of having obtained inappropriate favors from businessmen, including James Packer and Hollywood producer Arnon Milchan.",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
1000,-949,", Israeli police confirmed for the first time that Benjamin Netanyahu was suspected of crimes involving fraud, breach of trust, and bribes in two cases, ""Case 1000"" and ""Case 2000"".",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2018,69,"On 13 February 2018, Israeli police recommended that Benjamin Netanyahu be charged with corruption.",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2019,70,Benjamin Netanyahu was formally indicted on 21 November 2019.,Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2020,71,"Benjamin Netanyahu was officially charged on 28 January 2020.Netanyahu's criminal trial was set to begin on 24 May 2020, having been initially scheduled for March of 2020 but delayed due to the COVID-19 pandemic.",Prime minister (2009–2021),Fourth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2020,71,"On 17 May 2020, Benjamin Netanyahu was sworn in for a fifth term as prime minister in a coalition with Benny Gantz.",Prime minister (2009–2021),Fifth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2021,72,"On 13 June 2021, Israeli politician and leader of the Yamina alliance Naftali Bennett and Leader of the Opposition Yair Lapid formed a coalition government, and Benjamin Netanyahu was ousted as prime minister, ending Benjamin Netanyahu's 12-year tenure.",Prime minister (2009–2021),Fifth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2022,73,"After the 2022 election, Benjamin Netanyahu was sworn in as Prime Minister again as the leader of a hardline coalition.",Prime minister (2022–present),Sixth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2023,74,"In March 2023, Benjamin Netanyahu's repealed a 2005 law whereby four Israeli settlements, Homesh, Sa-Nur, Ganim and Kadim, were dismantled as part of the Israeli disengagement from Gaza.",Prime minister (2022–present),Sixth term,Benjamin Netanyahu.csv,Benjamin Netanyahu
2015,66,"In 2015, after Ethiopian Jewish protests against police brutality, Benjamin Netanyahu said: ""We will bring a comprehensive plan to the government to assist you in every way.",Political positions,Ethiopian Jewish integration,Benjamin Netanyahu.csv,Benjamin Netanyahu
1967,18,"Benjamin Netanyahu supports the integration of the African Hebrew Israelites of Jerusalem into Israeli society, and takes part in celebrations in honor of the African Hebrew Israelites of Jerusalem's ""exodus"" from America to Israel, which occurred in 1967.",Political positions,African Hebrew Israelites of Jerusalem,Benjamin Netanyahu.csv,Benjamin Netanyahu
2001,52,"In a 2001 video, Benjamin Netanyahu, reportedly unaware Benjamin Netanyahu was being recorded, said: ""They asked Benjamin Netanyahu before the election if Benjamin Netanyahu'd honor [the Oslo accords]"", ""Benjamin Netanyahu said Benjamin Netanyahu would, but ...",Political positions,Peace process,Benjamin Netanyahu.csv,Benjamin Netanyahu
2013,64,"In 2013, Benjamin Netanyahu denied reports that Benjamin Netanyahu's would agree to peace talks on the basis of the green line.",Political positions,Peace process,Benjamin Netanyahu.csv,Benjamin Netanyahu
2007,58,"In an 8 March 2007 interview with CNN, Benjamin Netanyahu claimed that ""there is only one difference between Nazi Germany and the Islamic Republic of Iran, namely that Nazi Germany entered a worldwide conflict and then sought atomic weapons, while the Islamic Republic of Iran is first seeking atomic weapons and, once the Islamic Republic of Iran has atomic weapons, will then start a world war.""",Political positions,Iran,Benjamin Netanyahu.csv,Benjamin Netanyahu
2020,71,"Benjamin Netanyahu praised ""The U.S. military's 2020 Baghdad International Airport airstrike, which killed the high-level Iranian General Qasem Soleimani, saying that the United States had acted ""swiftly, forcefully and decisively"".",Political positions,Iran,Benjamin Netanyahu.csv,Benjamin Netanyahu
2003,54,Benjamin Netanyahu has been suffering from Right bundle branch block (RBBB) since around 2003.,Personal life,Health,Benjamin Netanyahu.csv,Benjamin Netanyahu
1944,57,"Bernard Montgomery subsequently commanded the British Eighth Army during the Allied invasion of Sicily and the Allied invasion of Italy and was in command of all Allied ground forces during the Battle of Normandy (Operation Overlord), from D-Day on 6 June 1944 until 1 September 1944.",summary,,Bernard Montgomery.csv,Bernard Montgomery
1887,0,"Bernard Montgomery was born in Kennington, Surrey, in 1887, the fourth child of nine, to a Church of Ireland minister, Henry Montgomery, and a Church of Ireland minister, Henry Montgomery,'s wife, Maud (née Farrar).",Early life,,Bernard Montgomery.csv,Bernard Montgomery
1889,2,"was a financial relief of some magnitude when, in 1889, a Church of Ireland minister, Henry Montgomery, was made Bishop of Tasmania, then still a British colony, and Bernard Montgomery spent Bernard Montgomery's formative years there.",Early life,,Bernard Montgomery.csv,Bernard Montgomery
1897,10,"family returned to England once for a Lambeth Conference in 1897, and Bernard Montgomery and Bernard Montgomery's were educated at The King's School, Canterbury.",Early life,,Bernard Montgomery.csv,Bernard Montgomery
1910,23,"Bernard Montgomery was promoted to lieutenant in 1910, and in 1912 became adjutant of the 1st Battalion of the Royal Warwickshire Regiment at Shorncliffe Army Camp.",Early life,,Bernard Montgomery.csv,Bernard Montgomery
1914,27,"At Méteren, near the Belgian border at Bailleul on 13 October 1914, during an Allied counter-offensive, Bernard Montgomery was shot through the right lung by a sniper.",First World War,,Bernard Montgomery.csv,Bernard Montgomery
1915,28,"After recovering in early 1915, Bernard Montgomery was appointed brigade major, first of the 112th Brigade, and then with 104th Brigade training in Lancashire.",First World War,,Bernard Montgomery.csv,Bernard Montgomery
1919,32,"After the First World War, Bernard Montgomery commanded the 17th (Service) Battalion of the Royal Fusiliers, a battalion in the British Army of the Rhine, before reverting to Bernard Montgomery's substantive rank of captain (brevet major) in November 1919.",Between the world wars,1920s,Bernard Montgomery.csv,Bernard Montgomery
1923,36,"In May 1923, Bernard Montgomery was posted to the 49th (West Riding) Infantry Division, a Territorial Army (TA) formation.",Between the world wars,1920s,Bernard Montgomery.csv,Bernard Montgomery
1925,38,"Bernard Montgomery returned to the 1st Battalion, Royal Warwickshire Regiment in 1925 as a company commander and was promoted to major in July 1925.",Between the world wars,1920s,Bernard Montgomery.csv,Bernard Montgomery
1925,38,"In 1925, in Bernard Montgomery's first known courtship of a woman, Bernard Montgomery Bernard Montgomery's proposed to a 17-year-old girl, Betty Anderson.",Between the world wars,Marriage and family,Bernard Montgomery.csv,Bernard Montgomery
1942,55,"Bernard Montgomery had stabilised the Allied position at the First Battle of El Alamein, but after a visit in August 1942, the Prime Minister, Winston Churchill, replaced Bernard Montgomery as C-in-C with General Sir Harold Alexander and William Gott as commander of Eighth Army.",Second World War,North Africa and Italy,Bernard Montgomery.csv,Bernard Montgomery
1944,57,"When Bernard Montgomery protested that Bernard Montgomery had told his protégé, General Sir John Crocker, former commander of I Corps in the 1944–45 North-West Europe Campaign, that the job was to be his protégé, General Sir John Crocker, former commander of I Corps in the 1944–45 North-West Europe Campaign,'s, Prime Minister Clement Attlee's is said to have retorted ""Untell him"".Bernard Montgomery was then appointed Chairman of the Western Union Defence Organization's C-in-C committee.",Later life,Post-war military career,Bernard Montgomery.csv,Bernard Montgomery
1946,59,Bernard Montgomery was created 1st Viscount Montgomery of Alamein in 1946.Montgomery's,Later life,Personal,Bernard Montgomery.csv,Bernard Montgomery
1958,71,"Bernard Montgomery was threatened with legal action by Field Marshal Auchinleck for suggesting that Field Marshal Auchinleck had intended to retreat from the Alamein position if attacked again, and had to give a radio broadcast (20 November 1958) expressing his gratitude to Auchinleck for having stabilised the front at the First Battle of Alamein.",Later life,Opinions,Bernard Montgomery.csv,Bernard Montgomery
1967,80,"During a visit to the Alamein battlefields in May 1967, Bernard Montgomery bluntly told high-ranking Egyptian Army officers that high-ranking Egyptian Army officers would lose any war with Israel, a warning that was shown to be justified only a few weeks later in the Six-Day War.",Later life,Opinions,Bernard Montgomery.csv,Bernard Montgomery
1928,41,"Bernard Montgomery was survived by Bernard Montgomery's son and only child David Montgomery, 2nd Viscount Montgomery of Alamein (1928–2020), as well as two grandchildren.",Death,,Bernard Montgomery.csv,Bernard Montgomery
2013,32,"After creating Beyonce's own management company Parkwood Entertainment, Beyonce achieved acclaim for releasing the sonically experimental visual albums Beyonce (2013) and Lemonade (2016), which explored multiple societal themes such as feminism, relationships and womanism.",summary,,Beyonce.csv,Beyonce
