,0,1,2,3
256,1940,"On 16 February 1940, Churchill personally ordered Captain Philip Vian of the destroyer HMS Cossack to board the German supply ship Altmark in Norwegian waters freeing 299 British merchant seamen who had been captured by the Admiral Graf Spee.",First Lord of the Admiralty: September 1939 to May 1940,The Phoney War and the Norwegian Campaign
257,1940,"As a result, Wilfred was delayed until 8 April 1940, the day before the German invasion of Norway was launched.",First Lord of the Admiralty: September 1939 to May 1940,The Phoney War and the Norwegian Campaign
258,1938," Main article: Norway Debate Churchill with Lord Halifax in 1938 After the Allies failed to prevent the German occupation of Norway, the Commons held an open debate from 7 to 9 May on the government's conduct of the war.",First Lord of the Admiralty: September 1939 to May 1940,The Norway Debate and Chamberlain's resignation
259,1938," Main article: Norway Debate Churchill with Lord Halifax in 1938 After the Allies failed to prevent the German occupation of Norway, the Commons held an open debate from 7 to 9 May on the government's conduct of the war.",First Lord of the Admiralty: September 1939 to May 1940,The Norway Debate and Chamberlain's resignation
260,1941, Churchill takes aim with a Sten sub-machine gun in June 1941.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
261,1940,"Resolve to fight on Main article: War cabinet crisis, May 1940 At the end of May, with the British Expeditionary Force in retreat to Dunkirk and the Fall of France seemingly imminent, Halifax proposed that the government should explore the possibility of a negotiated peace settlement using the still-neutral Mussolini as an intermediary.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
262,1941,"In early 1941, however, Mussolini requested German support and Hitler sent the Afrika Korps to Tripoli under the command of Generalleutnant Erwin Rommel, who arrived not long after Churchill had halted Compass so that he could reassign forces to Greece where the Balkans campaign was entering a critical phase.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
263,1940,"In other initiatives through June and July 1940, Churchill ordered the formation of both the Special Operations Executive (SOE) and the Commandos.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
264,1941,"The Battle of Britain and the Blitz Churchill walks through the ruins of Coventry Cathedral with J A Moseley, M G Haigh, A R Grindlay and others, 1941.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
265,1940,"On 20 August 1940, at the height of the Battle of Britain, Churchill addressed the Commons to outline the war situation.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
266,1940,"The Luftwaffe altered its strategy from 7 September 1940 and began the Blitz, which was especially intensive through October and November.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
267,1940,"Lend-Lease In September 1940, the British and American governments concluded the Destroyers for Bases Agreement, by which fifty American destroyers were transferred to the Royal Navy in exchange for free US base rights in Bermuda, the Caribbean and Newfoundland.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
268,1940,It was for this reason that Churchill was relieved when Roosevelt was re-elected in 1940.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
269,1941,The policy was known as Lend-Lease and it was formally enacted on 11 March 1941.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
270,1941,"Operation Barbarossa Churchill and Roosevelt seated on the quarterdeck of HMS Prince of Wales for a Sunday service during the Atlantic Conference, 10 August 1941 Hitler launched his invasion of the Soviet Union on Sunday, 22 June 1941.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
271,1941,"Atlantic Charter In August 1941, Churchill made his first transatlantic crossing of the war on board HMS Prince of Wales and met Roosevelt in Placentia Bay, Newfoundland.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
272,1942,"This outlined the goals of both countries for the future of the world and it is seen as the inspiration for the 1942 Declaration by United Nations, itself the basis of the United Nations which was founded in June 1945.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
273,1941, Churchill takes aim with a Sten sub-machine gun in June 1941.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
274,1940,"Resolve to fight on Main article: War cabinet crisis, May 1940 At the end of May, with the British Expeditionary Force in retreat to Dunkirk and the Fall of France seemingly imminent, Halifax proposed that the government should explore the possibility of a negotiated peace settlement using the still-neutral Mussolini as an intermediary.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
275,1941,"In early 1941, however, Mussolini requested German support and Hitler sent the Afrika Korps to Tripoli under the command of Generalleutnant Erwin Rommel, who arrived not long after Churchill had halted Compass so that he could reassign forces to Greece where the Balkans campaign was entering a critical phase.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
276,1940,"In other initiatives through June and July 1940, Churchill ordered the formation of both the Special Operations Executive (SOE) and the Commandos.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
277,1941,"The Battle of Britain and the Blitz Churchill walks through the ruins of Coventry Cathedral with J A Moseley, M G Haigh, A R Grindlay and others, 1941.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
278,1940,"On 20 August 1940, at the height of the Battle of Britain, Churchill addressed the Commons to outline the war situation.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
279,1940,"The Luftwaffe altered its strategy from 7 September 1940 and began the Blitz, which was especially intensive through October and November.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
280,1940,"Lend-Lease In September 1940, the British and American governments concluded the Destroyers for Bases Agreement, by which fifty American destroyers were transferred to the Royal Navy in exchange for free US base rights in Bermuda, the Caribbean and Newfoundland.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
281,1940,It was for this reason that Churchill was relieved when Roosevelt was re-elected in 1940.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
282,1941,The policy was known as Lend-Lease and it was formally enacted on 11 March 1941.,Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
283,1941,"Operation Barbarossa Churchill and Roosevelt seated on the quarterdeck of HMS Prince of Wales for a Sunday service during the Atlantic Conference, 10 August 1941 Hitler launched his invasion of the Soviet Union on Sunday, 22 June 1941.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
284,1941,"Atlantic Charter In August 1941, Churchill made his first transatlantic crossing of the war on board HMS Prince of Wales and met Roosevelt in Placentia Bay, Newfoundland.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
285,1942,"This outlined the goals of both countries for the future of the world and it is seen as the inspiration for the 1942 Declaration by United Nations, itself the basis of the United Nations which was founded in June 1945.",Prime Minister: 1940–1945,Dunkirk to Pearl Harbor: May 1940 to December 1941
286,1941," Pearl Harbor and United States entry into the war On 7–8 December 1941, the Japanese attack on Pearl Harbor was followed by their invasion of Malaya and, on the 8th, Churchill declared war on Japan.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
287,1942,"Originally planned for the spring of 1942, it was finally launched in November 1942 when the crucial Second Battle of El Alamein was already underway.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
288,1940,"Churchill insisted that he did not need bed rest and, two days later, journeyed on to Ottawa by train where he gave a speech to the Canadian Parliament that included the ""some chicken, some neck"" line in which he recalled French predictions in 1940 that ""Britain alone would have her neck wrung like a chicken"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
289,1942,"On 21 January 1942, however, Rommel launched a surprise counter-attack which drove the Allies back to Gazala.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
290,1942,"Following the fall of Singapore to the Japanese on 15 February 1942, he felt that his misgivings were confirmed and said: ""(this is) the worst disaster and largest capitulation in British military history"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
291,1942,"Meanwhile, the Japanese had occupied most of Burma by the end of April 1942.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
292,1942,"Counter-offensives were hampered by the monsoon season and by disordered conditions in Bengal and Bihar, as well as a severe cyclone which devastated the region in October 1942.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
293,1943,"A combination of factors, including the curtailment of essential rice imports from Burma, poor administration, wartime inflation and a series of large-scale natural disasters such as flooding and crop disease led to the Bengal famine of 1943, in which an estimated 2.1–3.8 million people died.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
294,1942,"From December 1942 onwards, food shortages had prompted senior officials in India to ask London for grain imports, although the colonial authorities failed to recognise the seriousness of the emerging famine and responded ineptly.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
295,1943,"When the British realised the full extent of the famine in September 1943, Churchill ordered the transportation of 130,000 tons of Iraqi and Australian grain to Bengal and the war cabinet agreed to send 200,000 tons by the end of the year.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
296,1943,"During the last quarter of 1943, 100,000 tons of rice and 176,000 tons of wheat were imported, compared to averages of 55,000 tons of rice and 54,000 tons of wheat earlier in the year.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
297,1944,"In February 1944, as preparation for Operation Overlord placed greater demands on Allied shipping, Churchill cabled Wavell saying: ""I will certainly help you all I can, but you must not ask the impossible"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
298,1944,"Grain shipment requests continued to be turned down by the government throughout 1944, and Wavell complained to Churchill in October that ""the vital problems of India are being treated by His Majesty's Government with neglect, even sometimes with hostility and contempt"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
299,1942,"International conferences in 1942 Huge portraits of Churchill and Stalin, Brisbane, Australia, 31 October 1941.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
300,1942,"On 20 May 1942, the Soviet Foreign Affairs minister, Vyacheslav Molotov, arrived in London and stayed until the 28th before going on to Washington.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
301,1942,"Churchill meeting King Farouk in Cairo in December 1942 As 1942 drew to a close, the tide of war began to turn with Allied victory in the key battles of El Alamein and Stalingrad.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
302,1940,Churchill ordered the church bells to be rung throughout Great Britain for the first time since early 1940.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
303,1943,"International conferences in 1943 Stalin, Roosevelt and Churchill at the Tehran Conference in 1943 In January 1943, Churchill met Roosevelt at the Casablanca Conference (codename Symbol), which lasted ten days.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
304,1945,"The most important conference of the year was soon afterwards (28 November to 1 December) at Tehran (codename Eureka), where Churchill and Roosevelt met Stalin in the first of the ""Big Three"" meetings, preceding those at Yalta and Potsdam in 1945.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
305,1944,"Feeling much better, Churchill flew to Gibraltar on 14 January 1944 and sailed home on the King George V. He was back in London on the morning of 18 January and surprised MPs by attending Prime Minister's Questions in the Commons that afternoon.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
306,1943,"Since 12 January 1943, when he set off for the Casablanca Conference, Churchill had been abroad or seriously ill for 203 of the 371 days.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
307,1943,"Invasions of Sicily and Italy Churchill in the Roman amphitheatre of ancient Carthage to address 3,000 British and American troops, June 1943 In the autumn of 1942, after Churchill's meeting with Stalin in Moscow, he was approached by Eisenhower, commanding the North African Theater of Operations, United States Army (NATOUSA), and his aides on the subject of where the Western Allies should launch their first strike in Europe.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
308,1944,"Churchill was then all for driving straight up the Italian mainland with Rome as the main target, but the Americans wanted to withdraw several divisions to England in the build-up of forces for Operation Overlord, now scheduled for the spring of 1944.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
309,1944,"The big obstacle was Monte Cassino and it was not until mid-May 1944 when it was finally overcome, enabling the Allies to at last advance on Rome, which was taken on 4 June.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
310,1943,"Preparations for D-Day Churchill is greeted by a crowd in Québec City, Canada, 1943.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
311,1944,"Churchill was especially taken by the Mulberry project but he was also keen to make the most of Allied air power which, by the beginning of 1944, had become overwhelming.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
312,1942,"The Beveridge Report with its five ""Giant Evils"" was published in November 1942 and assumed great importance amid widespread popular acclaim.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
313,1944,His attitude was demonstrated in a Sunday evening radio broadcast on 26 March 1944.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
314,1945,"In the end, however, it was the population's demand for reform that decided the 1945 general election.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
315,1941,Arthur Greenwood had initiated its preceding social insurance and allied services inquiry in June 1941.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
316,1941," Pearl Harbor and United States entry into the war On 7–8 December 1941, the Japanese attack on Pearl Harbor was followed by their invasion of Malaya and, on the 8th, Churchill declared war on Japan.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
317,1942,"Originally planned for the spring of 1942, it was finally launched in November 1942 when the crucial Second Battle of El Alamein was already underway.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
318,1940,"Churchill insisted that he did not need bed rest and, two days later, journeyed on to Ottawa by train where he gave a speech to the Canadian Parliament that included the ""some chicken, some neck"" line in which he recalled French predictions in 1940 that ""Britain alone would have her neck wrung like a chicken"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
319,1942,"On 21 January 1942, however, Rommel launched a surprise counter-attack which drove the Allies back to Gazala.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
320,1942,"Following the fall of Singapore to the Japanese on 15 February 1942, he felt that his misgivings were confirmed and said: ""(this is) the worst disaster and largest capitulation in British military history"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
321,1942,"Meanwhile, the Japanese had occupied most of Burma by the end of April 1942.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
322,1942,"Counter-offensives were hampered by the monsoon season and by disordered conditions in Bengal and Bihar, as well as a severe cyclone which devastated the region in October 1942.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
323,1943,"A combination of factors, including the curtailment of essential rice imports from Burma, poor administration, wartime inflation and a series of large-scale natural disasters such as flooding and crop disease led to the Bengal famine of 1943, in which an estimated 2.1–3.8 million people died.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
324,1942,"From December 1942 onwards, food shortages had prompted senior officials in India to ask London for grain imports, although the colonial authorities failed to recognise the seriousness of the emerging famine and responded ineptly.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
325,1943,"When the British realised the full extent of the famine in September 1943, Churchill ordered the transportation of 130,000 tons of Iraqi and Australian grain to Bengal and the war cabinet agreed to send 200,000 tons by the end of the year.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
326,1943,"During the last quarter of 1943, 100,000 tons of rice and 176,000 tons of wheat were imported, compared to averages of 55,000 tons of rice and 54,000 tons of wheat earlier in the year.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
327,1944,"In February 1944, as preparation for Operation Overlord placed greater demands on Allied shipping, Churchill cabled Wavell saying: ""I will certainly help you all I can, but you must not ask the impossible"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
328,1944,"Grain shipment requests continued to be turned down by the government throughout 1944, and Wavell complained to Churchill in October that ""the vital problems of India are being treated by His Majesty's Government with neglect, even sometimes with hostility and contempt"".",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
329,1942,"International conferences in 1942 Huge portraits of Churchill and Stalin, Brisbane, Australia, 31 October 1941.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
330,1942,"On 20 May 1942, the Soviet Foreign Affairs minister, Vyacheslav Molotov, arrived in London and stayed until the 28th before going on to Washington.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
331,1942,"Churchill meeting King Farouk in Cairo in December 1942 As 1942 drew to a close, the tide of war began to turn with Allied victory in the key battles of El Alamein and Stalingrad.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
332,1940,Churchill ordered the church bells to be rung throughout Great Britain for the first time since early 1940.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
333,1943,"International conferences in 1943 Stalin, Roosevelt and Churchill at the Tehran Conference in 1943 In January 1943, Churchill met Roosevelt at the Casablanca Conference (codename Symbol), which lasted ten days.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
334,1945,"The most important conference of the year was soon afterwards (28 November to 1 December) at Tehran (codename Eureka), where Churchill and Roosevelt met Stalin in the first of the ""Big Three"" meetings, preceding those at Yalta and Potsdam in 1945.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
335,1944,"Feeling much better, Churchill flew to Gibraltar on 14 January 1944 and sailed home on the King George V. He was back in London on the morning of 18 January and surprised MPs by attending Prime Minister's Questions in the Commons that afternoon.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
336,1943,"Since 12 January 1943, when he set off for the Casablanca Conference, Churchill had been abroad or seriously ill for 203 of the 371 days.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
337,1943,"Invasions of Sicily and Italy Churchill in the Roman amphitheatre of ancient Carthage to address 3,000 British and American troops, June 1943 In the autumn of 1942, after Churchill's meeting with Stalin in Moscow, he was approached by Eisenhower, commanding the North African Theater of Operations, United States Army (NATOUSA), and his aides on the subject of where the Western Allies should launch their first strike in Europe.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
338,1944,"Churchill was then all for driving straight up the Italian mainland with Rome as the main target, but the Americans wanted to withdraw several divisions to England in the build-up of forces for Operation Overlord, now scheduled for the spring of 1944.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
339,1944,"The big obstacle was Monte Cassino and it was not until mid-May 1944 when it was finally overcome, enabling the Allies to at last advance on Rome, which was taken on 4 June.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
340,1943,"Preparations for D-Day Churchill is greeted by a crowd in Québec City, Canada, 1943.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
341,1944,"Churchill was especially taken by the Mulberry project but he was also keen to make the most of Allied air power which, by the beginning of 1944, had become overwhelming.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
342,1942,"The Beveridge Report with its five ""Giant Evils"" was published in November 1942 and assumed great importance amid widespread popular acclaim.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
343,1944,His attitude was demonstrated in a Sunday evening radio broadcast on 26 March 1944.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
344,1945,"In the end, however, it was the population's demand for reform that decided the 1945 general election.",Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
345,1941,Arthur Greenwood had initiated its preceding social insurance and allied services inquiry in June 1941.,Prime Minister: 1940–1945,Pearl Harbor to D-Day: December 1941 to June 1944
346,1945," Churchill's crossing of the Rhine river in Germany, during Operation Plunder on 25 March 1945 D-Day: Allied invasion of Normandy Churchill was determined to be actively involved in the Normandy invasion and hoped to cross the Channel on D-Day itself (6 June 1944) or at least on D-Day+1.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
347,1944,"Quebec Conference, September 1944 Churchill met Roosevelt at the Second Quebec Conference (codename Octagon) from 12 to 16 September 1944.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
348,1944,"Moscow Conference, October 1944 At the fourth Moscow conference (codename Tolstoy) from 9 to 19 October 1944, Churchill and Eden met Stalin and Molotov.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
349,1958,"In 1958, five years after the account of this meeting was published (in Churchill's The Second World War), Soviet authorities denied that Stalin had accepted such an ""imperialist proposal"".",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
350,1945,"Yalta Conference, February 1945 Main article: Yalta Conference Churchill, Roosevelt, and Stalin at the Yalta Conference, February 1945 From 30 January to 2 February 1945, Churchill and Roosevelt met for their Malta Conference ahead of the second ""Big Three"" event at Yalta from 4 to 11 February.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
351,1946,Keelhaul was implemented between 14 August 1946 and 9 May 1947.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
352,1945,"Area bombing controversy Main article: Bombing of Dresden in World War II The destruction of Dresden, February 1945 On the nights of 13–15 February 1945, some 1,200 British and US bombers attacked the German city of Dresden, which was crowded with wounded and refugees from the Eastern Front.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
353,2010,"Churchill came to regret the bombing because initial reports suggested an excessive number of civilian casualties close to the end of the war, though an independent commission in 2010 confirmed a death toll between 22,700 and 25,000.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
354,1945,"VE Day (Victory in Europe Day) Churchill waving the Victory sign to the crowd in Whitehall on the day he broadcast to the nation that the war with Germany had been won, 8 May 1945.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
355,1945,On 7 May 1945 at the SHAEF headquarters in Reims the Allies accepted Germany's surrender.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
356,1945,"In the evening, Churchill made another broadcast to the nation asserting that the defeat of Japan would follow in the coming months (the Japanese surrendered on 15 August 1945).",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
357,1945,"Operation Unthinkable Main article: Operation Unthinkable In May 1945, Winston Churchill commissioned the British Chiefs of Staff Committee to provide its thoughts on a possible military campaign against the USSR, code-named Operation Unthinkable.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
358,1945,The hypothetical start date for the Allied invasion of Soviet-held Europe was set for 1 July 1945.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
359,1945," Churchill's crossing of the Rhine river in Germany, during Operation Plunder on 25 March 1945 D-Day: Allied invasion of Normandy Churchill was determined to be actively involved in the Normandy invasion and hoped to cross the Channel on D-Day itself (6 June 1944) or at least on D-Day+1.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
360,1944,"Quebec Conference, September 1944 Churchill met Roosevelt at the Second Quebec Conference (codename Octagon) from 12 to 16 September 1944.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
361,1944,"Moscow Conference, October 1944 At the fourth Moscow conference (codename Tolstoy) from 9 to 19 October 1944, Churchill and Eden met Stalin and Molotov.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
362,1958,"In 1958, five years after the account of this meeting was published (in Churchill's The Second World War), Soviet authorities denied that Stalin had accepted such an ""imperialist proposal"".",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
363,1945,"Yalta Conference, February 1945 Main article: Yalta Conference Churchill, Roosevelt, and Stalin at the Yalta Conference, February 1945 From 30 January to 2 February 1945, Churchill and Roosevelt met for their Malta Conference ahead of the second ""Big Three"" event at Yalta from 4 to 11 February.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
364,1946,Keelhaul was implemented between 14 August 1946 and 9 May 1947.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
365,1945,"Area bombing controversy Main article: Bombing of Dresden in World War II The destruction of Dresden, February 1945 On the nights of 13–15 February 1945, some 1,200 British and US bombers attacked the German city of Dresden, which was crowded with wounded and refugees from the Eastern Front.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
366,2010,"Churchill came to regret the bombing because initial reports suggested an excessive number of civilian casualties close to the end of the war, though an independent commission in 2010 confirmed a death toll between 22,700 and 25,000.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
367,1945,"VE Day (Victory in Europe Day) Churchill waving the Victory sign to the crowd in Whitehall on the day he broadcast to the nation that the war with Germany had been won, 8 May 1945.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
368,1945,On 7 May 1945 at the SHAEF headquarters in Reims the Allies accepted Germany's surrender.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
369,1945,"In the evening, Churchill made another broadcast to the nation asserting that the defeat of Japan would follow in the coming months (the Japanese surrendered on 15 August 1945).",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
370,1945,"Operation Unthinkable Main article: Operation Unthinkable In May 1945, Winston Churchill commissioned the British Chiefs of Staff Committee to provide its thoughts on a possible military campaign against the USSR, code-named Operation Unthinkable.",Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
371,1945,The hypothetical start date for the Allied invasion of Soviet-held Europe was set for 1 July 1945.,Prime Minister: 1940–1945,Defeat of Germany: June 1944 to May 1945
372,1945," Main article: Churchill caretaker ministry With a general election looming (there had been none for almost a decade), and with the Labour ministers refusing to continue the wartime coalition, Churchill resigned as Prime Minister on 23 May 1945.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
373,1945,"Potsdam Conference Main article: Potsdam Conference Churchill, Harry S. Truman, and Stalin at the Potsdam Conference, July 1945 Churchill was Great Britain's representative at the post-war Potsdam Conference when it opened on 17 July and was accompanied at its sessions not only by Eden as Foreign Secretary but also, pending the result of the July general election, by Attlee.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
374,1945,"General election, July 1945 Main article: 1945 United Kingdom general election Churchill mishandled the election campaign by resorting to party politics and trying to denigrate Labour.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
375,1945," Main article: Churchill caretaker ministry With a general election looming (there had been none for almost a decade), and with the Labour ministers refusing to continue the wartime coalition, Churchill resigned as Prime Minister on 23 May 1945.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
376,1945,"Potsdam Conference Main article: Potsdam Conference Churchill, Harry S. Truman, and Stalin at the Potsdam Conference, July 1945 Churchill was Great Britain's representative at the post-war Potsdam Conference when it opened on 17 July and was accompanied at its sessions not only by Eden as Foreign Secretary but also, pending the result of the July general election, by Attlee.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
377,1945,"General election, July 1945 Main article: 1945 United Kingdom general election Churchill mishandled the election campaign by resorting to party politics and trying to denigrate Labour.",Prime Minister: 1940–1945,Caretaker government: May 1945 to July 1945
378,1949," Churchill in 1949 Churchill continued to lead the Conservative Party and, for six years, served as Leader of the Opposition.",Leader of the Opposition: 1945–1951,"""Iron Curtain"" speech"
379,1946,"In 1946, he was in America for nearly three months from early January to late March.",Leader of the Opposition: 1945–1951,"""Iron Curtain"" speech"
380,1946,"Speaking on 5 March 1946 in the company of President Truman at Westminster College in Fulton, Missouri, Churchill declared:  From Stettin in the Baltic to Trieste in the Adriatic, an Iron Curtain has descended across the continent.",Leader of the Opposition: 1945–1951,"""Iron Curtain"" speech"
381,1949," Churchill in 1949 Churchill continued to lead the Conservative Party and, for six years, served as Leader of the Opposition.",Leader of the Opposition: 1945–1951,"""Iron Curtain"" speech"
